attribute_name,description,data_type,example_value,unit
months_as_customer,Number of months the customer has been with the company,int64,328,
age,Age of the policyholder,int64,48,
policy_number,Unique identifier for the insurance policy,int64,521585,
policy_bind_date,Date when the policy was activated,object,2014-10-17,
policy_state,State in which the insurance policy is registered,object,OH,
policy_csl,Combined single limit (CSL) coverage value,object,250/500,
policy_deductable,Amount paid out of pocket before insurance coverage begins,int64,1000,
policy_annual_premium,Total annual premium paid for the insurance policy,float64,1406.91,
umbrella_limit,Additional liability coverage beyond standard limits,int64,0,
insured_zip,Zip code of the insured individual,int64,466132,
insured_sex,Gender of the insured person,object,MALE,
insured_education_level,Education level of the insured person,object,MD,
insured_occupation,Occupation of the insured person,object,craft-repair,
insured_hobbies,Hobbies listed by the insured person,object,sleeping,
insured_relationship,Relationship of the insured person to the policyholder,object,husband,
capital-gains,,int64,53300,
capital-loss,,int64,0,
incident_date,Date when the incident occurred,object,2015-01-25,
incident_type,Type of incident being claimed,object,Single Vehicle Collision,
collision_type,Type of collision if applicable,object,Side Collision,
incident_severity,Severity level of the incident,object,Major Damage,
authorities_contacted,Which authorities were contacted after the incident,object,Police,
incident_state,State where the incident occurred,object,SC,
incident_city,City where the incident occurred,object,Columbus,
incident_location,Specific location of the incident,object,9935 4th Drive,
incident_hour_of_the_day,Hour of the day when the incident occurred,int64,5,
number_of_vehicles_involved,Number of vehicles involved in the incident,int64,1,
property_damage,Whether there was property damage,object,YES,
bodily_injuries,Number of bodily injuries reported,int64,1,
witnesses,Number of witnesses listed,int64,2,
police_report_available,Whether a police report was filed,object,YES,
total_claim_amount,Total amount claimed,int64,71610,
injury_claim,Amount claimed for injuries,int64,6510,
property_claim,Amount claimed for property damage,int64,13020,
vehicle_claim,Amount claimed for vehicle damage,int64,52080,
auto_make,Make of the insured vehicle,object,Saab,
auto_model,Model of the insured vehicle,object,92x,
auto_year,Year of manufacture of the insured vehicle,int64,2004,
fraud_reported,Indicates whether the claim was identified as fraudulent,object,Y,
_c39,,float64,,
